id,review_text
1,"The product is amazing! Works perfectly and fast delivery."
2,"Not worth the money. Broke after 2 days."
3,"It's okay. Nothing special but does the job."
4,"Absolutely terrible customer service, they never responded to my emails."
5,"Best purchase I've made all year! Highly recommend to everyone."
6,"The packaging was damaged but the product itself works fine."
7,"Good value for the price, would buy again."
8,"I'm disappointed, it doesn't match the description at all."
9,"Exceeded my expectations! The quality is outstanding and shipping was lightning fast."
10,"Complete waste of money. Stopped working within a week and no refund offered."
11,"Decent enough for the price, but I've seen better quality elsewhere."
12,"Worst experience ever. The item arrived dirty and clearly used before."
13,"Love love love this! Already ordered another one for my sister."
14,"Mediocre at best. The color is slightly off from the photos online."
15,"Fantastic customer support! They replaced my unit immediately, no questions asked."
16,"Very flimsy construction, feels like it could break any moment."
17,"Does exactly what it says on the tin. No complaints here."
18,"I wish I could give zero stars. Damaged goods and rude staff when I complained."
19,"Surprisingly good for a budget option. Pleasantly surprised!"
20,"The instructions were impossible to follow, very frustrating setup process."
21,"Five stars all around. The quality, design, and performance are top-notch."
22,"It's fine. Not great, not terrible. Just average."
23,"Absolute game-changer! My productivity has doubled since I got this."
24,"The battery life is nowhere near what they advertised. Very misleading."
25,"Great gift idea — the recipient was thrilled with it!"
26,"Dented and scratched upon arrival, but return process was smooth."
27,"Solid build quality and feels premium in hand. Recommended."
28,"Don't bother buying this. You can find cheaper alternatives that work better."
29,"Pretty satisfied overall. Small details could be improved but no major issues."
30,"I've been using it daily for a month and it still looks brand new. Impressive durability."
